DateTime;Measured & upscaled [MW];Monitored Capacity [MW]
01/03/2025 00:00;693,99;5439,175
01/03/2025 00:15;679,66;5439,175
01/03/2025 00:30;685,29;5439,175
01/03/2025 00:45;669,3;5439,175
01/03/2025 01:00;657,68;5439,175
01/03/2025 01:15;654,12;5439,175
01/03/2025 01:30;631,71;5439,175
01/03/2025 01:45;619,39;5439,175
01/03/2025 02:00;572,67;5439,175
01/03/2025 02:15;536,49;5439,175
01/03/2025 02:30;496,71;5439,175
01/03/2025 02:45;463,48;5439,175
01/03/2025 03:00;454,98;5439,175
01/03/2025 03:15;465,77;5439,175
01/03/2025 03:30;464,59;5439,175
01/03/2025 03:45;447,49;5439,175
01/03/2025 04:00;422,7;5439,175
01/03/2025 04:15;413,67;5439,175
01/03/2025 04:30;394,61;5439,175
01/03/2025 04:45;377,32;5439,175
01/03/2025 05:00;376,71;5439,175
01/03/2025 05:15;337,44;5439,175
01/03/2025 05:30;340,48;5439,175
01/03/2025 05:45;332,07;5439,175
01/03/2025 06:00;328,35;5439,175
01/03/2025 06:15;336,47;5439,175
01/03/2025 06:30;320,02;5439,175
01/03/2025 06:45;318,09;5439,175
01/03/2025 07:00;319,94;5439,175
01/03/2025 07:15;299,9;5439,175
01/03/2025 07:30;261,51;5439,175
01/03/2025 07:45;232,48;5439,175
01/03/2025 08:00;220,85;5439,175
01/03/2025 08:15;226,48;5439,175
01/03/2025 08:30;205,62;5439,175
01/03/2025 08:45;180,44;5439,175
01/03/2025 09:00;183,58;5439,175
01/03/2025 09:15;190,5;5439,175
01/03/2025 09:30;182,56;5439,175
01/03/2025 09:45;172,27;5439,175
01/03/2025 10:00;167,34;5439,175
01/03/2025 10:15;189,24;5439,175
01/03/2025 10:30;212,07;5439,175
01/03/2025 10:45;230,58;5439,175
01/03/2025 11:00;245,18;5439,175
01/03/2025 11:15;253,82;5439,175
01/03/2025 11:30;267,14;5439,175
01/03/2025 11:45;264,14;5439,175
01/03/2025 12:00;278,03;5439,175
01/03/2025 12:15;300,47;5439,175
01/03/2025 12:30;293,46;5439,175
01/03/2025 12:45;288,18;5439,175
01/03/2025 13:00;292,54;5439,175
01/03/2025 13:15;304,79;5439,175
01/03/2025 13:30;328,57;5439,175
01/03/2025 13:45;364,33;5439,175
01/03/2025 14:00;383,71;5439,175
01/03/2025 14:15;390,87;5439,175
01/03/2025 14:30;413,16;5439,175
01/03/2025 14:45;420,67;5439,175
01/03/2025 15:00;411,36;5439,175
01/03/2025 15:15;413,4;5439,175
01/03/2025 15:30;403,13;5439,175
01/03/2025 15:45;372,7;5439,175
01/03/2025 16:00;367,69;5439,175
01/03/2025 16:15;370,36;5439,175
01/03/2025 16:30;343,3;5439,175
01/03/2025 16:45;346,57;5439,175
01/03/2025 17:00;320,54;5439,175
01/03/2025 17:15;315,48;5439,175
01/03/2025 17:30;304,79;5439,175
01/03/2025 17:45;308,36;5439,175
01/03/2025 18:00;313,9;5439,175
01/03/2025 18:15;317,76;5439,175
01/03/2025 18:30;347,51;5439,175
01/03/2025 18:45;372,44;5439,175
01/03/2025 19:00;374,54;5439,175
01/03/2025 19:15;385,51;5439,175
01/03/2025 19:30;392,07;5439,175
01/03/2025 19:45;367,49;5439,175
01/03/2025 20:00;351,92;5439,175
01/03/2025 20:15;345,68;5439,175
01/03/2025 20:30;334,13;5439,175
